recclass,count,mean_mass,cv_obs,cv_null_mean,cv_null_std,cv_effect,cv_zscore,cv_pvalue,cv_fdr_q
LL,225,103.21022222222223,4.512530347863621,8.424864565721649,3.162269532672271,-3.912334217858027,-1.2371918893807623,0.204,0.7479999999999999
Eucrite-br,80,179.689,2.3577290018268697,5.487281944380347,1.7977858688808048,-3.129552942553477,-1.7407818120751786,0.024,0.29333333333333333
"Iron, IIF",6,11156.0,0.7329951385684668,1.2886105043809066,0.49410211146551253,-0.5556153658124399,-1.1244950242460579,0.256,0.8131645569620253
L4-6,33,70540.47121212122,4.889593361058518,3.379276698628857,1.1486816051084132,1.510316662429661,1.3148261935361247,0.3,0.8148148148148148
EH5,6,4654.038333333334,1.4033296105956679,1.7170778215000542,0.30184644656730464,-0.3137482109043863,-1.0394298640001642,0.38,0.8451485148514851
H3.4,16,652.2410625000001,1.9457566594356794,2.588875759460601,0.6919219946517218,-0.6431191000249215,-0.9294676350744346,0.428,0.8598473282442748
Martian (shergottite),99,879.0285353535355,2.7434774111893767,5.584845854565663,2.0456721653764904,-2.8413684433762865,-1.388965686421878,0.08,0.606896551724138
Achondrite-ung,57,895.8456140350878,2.4538933722100666,4.382589053884147,1.491487375226701,-1.9286956816740806,-1.2931357742005194,0.132,0.6453333333333334
LL3.3,15,645.5566666666667,1.6959337715712883,2.3859898975556133,0.7264801252976328,-0.690056125984325,-0.9498623595540411,0.44,0.8598473282442748
C,8,156.4475,2.030416251354752,1.659172309382145,0.21589303604041007,0.3712439419726068,1.719573492417415,0.056,0.606896551724138
LL7,22,200.23454545454544,1.1838922321025973,1.2281278993294582,0.0784495703516598,-0.0442356672268609,-0.5638739259956315,0.5,0.8598473282442748
Mesosiderite-B2,5,11857.342,1.784755015392962,1.5265195976264745,0.2926638831126125,0.2582354177664876,0.882361755813657,0.552,0.8674285714285715
LL4-6,34,927.0535294117648,1.9277601364620323,3.527863490251128,1.153408472403095,-1.6001033537890959,-1.3872824693712578,0.068,0.606896551724138
"Iron, IAB complex",51,180809.19784313726,2.979932975437118,3.722154023577519,1.5132812472455828,-0.7422210481404008,-0.4904713181977002,0.852,0.9412935323383084
"Pallasite, PMG-an",11,685358.9090909091,1.9241633686163948,1.8675571875435695,0.6491468044498591,0.056606181072825335,0.08720089305653768,0.828,0.9412935323383084
H3.9/4,5,5587.546,1.916374507794792,1.5082633536563659,0.3208957590947903,0.40811115413842614,1.2717873096536407,0.264,0.8131645569620253
L3.8,66,828.0681818181819,3.0894671141928947,4.625555418255394,1.6330988507045852,-1.5360883040624995,-0.940597259865665,0.36,0.8425531914893617
LL5-6,40,917.4825000000001,1.6716456761935994,3.5743112766742717,1.3483858274907263,-1.9026656004806723,-1.4110691181183883,0.12,0.613953488372093
L3.9,27,1513.5466666666664,3.920606998458653,2.8477732702886267,1.1446696569877122,1.0728337281700262,0.9372430915948905,0.44,0.8598473282442748
L4-5,24,9275.753333333332,4.290319973028572,2.8165991635261225,0.9470565041275868,1.4737208095024492,1.5561065291030518,0.204,0.7479999999999999
L3-5,13,945.6923076923077,1.3278861786160756,2.1836169737266102,0.6475493501135593,-0.8557307951105346,-1.321491242266658,0.168,0.7479999999999999
LL4/5,5,873.78,1.4879666671135643,1.5568585053865467,0.3154060473740348,-0.0688918382729824,-0.21842269305408943,0.852,0.9412935323383084
L4/5,59,1666.9852033898305,2.740257399451162,4.302615671008956,1.516385567111491,-1.5623582715577942,-1.0303172922793475,0.292,0.8131645569620253
H3.9,43,836.2806976744185,2.760800114624673,3.8357314074163016,1.3196462270653413,-1.0749312927916286,-0.8145601985935919,0.488,0.8598473282442748
CH3,21,223.7309523809524,2.1272695757965376,3.193935701673566,0.720427129855532,-1.0666661258770285,-1.4806023838815288,0.092,0.6133333333333333
CO3,334,511.84785928143714,10.185542602735445,10.073789507785284,3.7482043274768935,0.11175309495016172,0.02981510216263701,0.84,0.9412935323383084
Chondrite-ung,15,997.562,2.047960074762308,2.438966541423865,0.7612504828484095,-0.3910064666615569,-0.5136370688377211,0.716,0.9093333333333333
H~5,111,820.3205405405407,5.18852516572821,6.167489286396457,2.0948165939057923,-0.9789641206682473,-0.46732688843320913,0.772,0.918054054054054
H~6,22,791.4463636363636,2.2140422285127905,2.9879241454238303,0.8899140718127317,-0.7738819169110398,-0.8696142036889725,0.492,0.8598473282442748
EL5,6,593.9833333333333,1.67101792993395,1.694297551687966,0.3757237081931222,-0.023279621754015878,-0.06195941657759361,0.988,0.992
LL3,128,448.2764296875,2.799596291500932,6.433202559632547,2.260717519168914,-3.633606268131615,-1.6072800946256225,0.008,0.13538461538461538
L~6,94,555.9021276595745,3.237291338714372,5.363897814793473,1.7960299355166025,-2.1266064760791012,-1.184059593899482,0.22,0.7682539682539682
H~4,18,592.6888888888889,1.4264587123088108,2.482599499697809,0.9214351251414532,-1.056140787388998,-1.146191151793639,0.312,0.826987951807229
H3.6,42,7203.912714285713,5.984975265852867,4.027364690201111,1.3093828133384666,1.9576105756517563,1.4950635946263389,0.212,0.7645901639344262
L3.5,88,561.3556818181819,5.994354056816473,5.384499351902041,1.9327840245576697,0.609854704914432,0.31553173927645706,0.732,0.9093333333333333
CM1/2,18,175.79944444444445,3.923117351178089,3.9235289691472426,0.1565108091911317,-0.000411617969153788,-0.002629965120499239,0.888,0.9480193236714977
Brachinite,33,565.0403030303031,1.6970044866248735,3.4139131076712856,1.1479436521662607,-1.7169086210464122,-1.4956384120478992,0.116,0.613953488372093
EL3,19,135.74947368421053,2.828526089583445,3.397875104550228,0.6203769784287019,-0.5693490149667828,-0.917746845488749,0.492,0.8598473282442748
H3.5,18,838.1905555555554,2.460640409642023,2.685605827132154,0.7811754699977388,-0.224965417490131,-0.287983207525426,0.856,0.9412935323383084
CM1,19,45.68578947368421,3.3774931936034216,3.131344095530874,0.2932405734964982,0.2461490980725478,0.8394100964186229,0.52,0.8601503759398497
L/LL3,26,357.93,2.150513329234971,3.2474937104803456,1.0054184520447695,-1.0969803812453747,-1.0910684790142762,0.336,0.830561797752809
H7,12,228.4666666666667,1.5544516106534567,2.377404638985077,0.6100706887129986,-0.8229530283316204,-1.34894700492449,0.184,0.7479999999999999
L3.2,15,1153.7913333333336,1.7867101153766731,2.4863054930178734,0.6610856403859056,-0.6995953776412003,-1.0582522670327779,0.36,0.8425531914893617
